,time,open,high,low,close,tick_volume,spread,real_volume
388,1673286540,1.22061,1.2208,1.2205,1.22061,132,5,0
389,1673286600,1.2206299999999999,1.22083,1.2202,1.22031,182,5,0
390,1673286660,1.22031,1.2204,1.21964,1.21964,167,5,0
391,1673286720,1.21967,1.22019,1.21967,1.21977,182,5,0
392,1673286780,1.21974,1.22013,1.21929,1.21959,253,5,0
393,1673286840,1.21958,1.2196500000000001,1.21947,1.21959,137,5,0
394,1673286900,1.21959,1.21959,1.21929,1.2195,119,5,0
395,1673286960,1.2195,1.21952,1.21922,1.2193100000000001,134,5,0
396,1673287020,1.21932,1.21933,1.2191,1.21915,163,5,0
397,1673287080,1.21915,1.2193100000000001,1.21891,1.2190400000000001,135,5,0
398,1673287140,1.21902,1.21921,1.21899,1.2191,109,5,0
399,1673287200,1.21909,1.2193100000000001,1.21897,1.2190699999999999,108,5,0
400,1673287260,1.21909,1.21933,1.21898,1.21928,177,5,0
401,1673287320,1.2193100000000001,1.2193100000000001,1.2191,1.21919,183,5,0
402,1673287380,1.21919,1.2194099999999999,1.21905,1.21934,108,5,0
403,1673287440,1.21937,1.21963,1.21926,1.21962,136,3,0
404,1673287500,1.21962,1.21984,1.21948,1.21951,132,5,0
405,1673287560,1.2195,1.2196500000000001,1.21935,1.21954,100,5,0
406,1673287620,1.21953,1.22005,1.2195,1.21999,141,5,0
